Name,Genre,Publisher,ESRB_Rating,Developer,Critic_Score
WII SPORTS,Sports,Nintendo,E,Nintendo EAD,7.7
MARIO KART WII,Racing,Nintendo,E,Nintendo EAD,8.2
WII SPORTS RESORT,Sports,Nintendo,E,Nintendo EAD,8.0
POKEMON RED / GREEN / BLUE VERSION,Role-Playing,Nintendo,E,Game Freak,9.4
NEW SUPER MARIO BROS.,Platform,Nintendo,E,Nintendo EAD,9.1
NEW SUPER MARIO BROS. WII,Platform,Nintendo,E,Nintendo EAD,8.6
WII PLAY,Misc,Nintendo,E,Nintendo EAD,5.9
KINECT ADVENTURES!,Party,Microsoft Game Studios,E,Good Science Studio,6.7
NINTENDOGS,Simulation,Nintendo,E,Nintendo EAD,8.4
MARIO KART DS,Racing,Nintendo,E,Nintendo EAD,9.1
POKEMON GOLD / SILVER VERSION,Role-Playing,Nintendo,E,Game Freak,9.2
WII FIT,Sports,Nintendo,E,Nintendo EAD,7.9
WII FIT PLUS,Sports,Nintendo,E,Nintendo EAD,8.0
BRAIN AGE: TRAIN YOUR BRAIN IN MINUTES A DAY,Misc,Nintendo,E,Nintendo SDD,8.1
MARIO KART 7,Racing,Nintendo,E,Nintendo EAD / Retro Studios,8.2
POKEMON DIAMOND / PEARL VERSION,Role-Playing,Nintendo,E,Game Freak,8.6
POKEMON X/Y,Role-Playing,Nintendo,E,Game Freak,8.9
POKEMON RUBY / SAPPHIRE VERSION,Role-Playing,Nintendo,E,Game Freak,8.8
POKEMON SUN/MOON,Role-Playing,Nintendo,E,Game Freak,9.0
POKEMON BLACK / WHITE VERSION,Role-Playing,Nintendo,E,Game Freak,8.6
MARIO KART 8 DELUXE,Racing,Nintendo,E,Nintendo EPD,9.3
COUNTER-STRIKE: SOURCE,Shooter,VU Games,M,Valve Software,9.3
GRAN TURISMO 3: A-SPEC,Racing,Sony Computer Entertainment,E,Polyphony Digital,9.3
BRAIN AGE 2: MORE TRAINING IN MINUTES A DAY,Misc,Nintendo,E,Nintendo SDD,8.0
POKEMON YELLOW: SPECIAL PIKACHU EDITION,Role-Playing,Nintendo,E,Game Freak,8.7
HALO 3,Shooter,Microsoft Game Studios,M,Bungie Studios,9.6
RED DEAD REDEMPTION 2,Action-Adventure,Rockstar Games,M,Rockstar Games,9.8
SUPER MARIO ODYSSEY,Platform,Nintendo,E10,Nintendo EPD,9.9
CALL OF DUTY: WWII,Shooter,Activision,M,Sledgehammer Games,8.0
SUPER SMASH BROS. BRAWL,Fighting,Nintendo,T,Project Sora,9.2
NEW SUPER MARIO BROS. 2,Platform,Nintendo,E,Nintendo,7.5
SUPER MARIO GALAXY,Platform,Nintendo,E,Nintendo EAD Tokyo,9.7
POKEMON HEART GOLD / SOUL SILVER VERSION,Role-Playing,Nintendo,E,Game Freak,8.6
SUPER MARIO 3D LAND,Platform,Nintendo,E,Nintendo EAD Tokyo,8.9
ANIMAL CROSSING: NEW LEAF,Simulation,Nintendo,E,Nintendo EAD,8.6
SUPER SMASH BROS. ULTIMATE,Fighting,Nintendo,E10,Bandai Namco Games,9.4
DIABLO III,Role-Playing,Blizzard Entertainment,M,Blizzard Entertainment,9.0
POKEMON FIRERED / LEAFGREEN VERSION,Role-Playing,Nintendo,E,Game Freak,8.3
GRAN TURISMO 5,Racing,Sony Computer Entertainment,E,Polyphony Digital,8.3
GRAN TURISMO 4,Racing,Sony Computer Entertainment,E,Polyphony Digital,8.7
ANIMAL CROSSING: WILD WORLD,Simulation,Nintendo,E,Nintendo EAD,8.5
THE LEGEND OF ZELDA: BREATH OF THE WILD,Action-Adventure,Nintendo,E10,Nintendo EPD,9.9
SUPER MARIO LAND 2: 6 GOLDEN COINS,Platform,Nintendo,E,Nintendo R&D1,9.0
SUPER MARIO 64 DS,Platform,Nintendo,E,Nintendo EAD,8.6
CALL OF DUTY: GHOSTS,Shooter,Activision,M,Infinity Ward,6.9
HORIZON: ZERO DAWN,Action,Sony Interactive Entertainment,T,Guerrilla Games,9.1
ROLLERCOASTER TYCOON 3,Strategy,Atari,E,Frontier Developments,8.3
HALO: REACH,Shooter,Microsoft Game Studios,M,Bungie,9.3
PORTAL,Shooter,Valve Corporation,T,Valve Software,9.0
STARCRAFT,Strategy,Blizzard Entertainment,T,Blizzard Entertainment,8.7
SUPER SMASH BROS. FOR 3DS,Fighting,Nintendo,E10,Bandai Namco Games,8.4
GRAN TURISMO 2,Racing,Sony Computer Entertainment,E,Polyphony Digital,9.2
WII PARTY,Misc,Nintendo,E,"Nd Cube Co., Ltd.",7.0
MARIO PARTY DS,Misc,Nintendo,E,Hudson Soft,7.1
MARVEL'S SPIDER-MAN,Action-Adventure,Sony Interactive Entertainment,T,Insomniac Games,9.1
MARIO PARTY 8,Misc,Nintendo,E,Hudson Soft,6.5
SUPER MARIO KART,Racing,Nintendo,E,Nintendo EAD,10.0
GRAND THEFT AUTO V,Action,Rockstar Games,M,Rockstar North,9.0
UNCHARTED 4: A THIEF'S END,Action,Sony Interactive Entertainment,T,Naughty Dog,9.2
FINAL FANTASY X,Role-Playing,Square,T,SquareSoft,9.0
POKEMON BLACK 2 AND WHITE 2,Role-Playing,Nintendo,E,Game Freak,8.0
MARIO KART 8,Racing,Nintendo,E,Nintendo,8.8
TEKKEN 3,Fighting,Namco,T,Namco,9.6
POKEMON: ULTRA SUN AND ULTRA MOON,Role-Playing,Nintendo,E,Game Freak,8.1
SPLATOON 2,Shooter,Nintendo,E10,Nintendo EPD,8.2
FIFA 16,Sports,EA Sports,E,EA Canada,8.5
POKEMON PLATINUM VERSION,Role-Playing,Nintendo,E,Game Freak,8.3
CRASH BANDICOOT 2: CORTEX STRIKES BACK,Platform,Sony Computer Entertainment,E,Naughty Dog,8.6
SUPER MARIO GALAXY 2,Platform,Nintendo,E,Nintendo EAD Tokyo,9.7
SUPER SMASH BROS. MELEE,Fighting,Nintendo,T,HAL Laboratory,9.2
BATTLEFIELD 3,Shooter,Electronic Arts,M,Dice,8.5
NEED FOR SPEED UNDERGROUND,Racing,Electronic Arts,E,EA Black Box,8.6
CRASH BANDICOOT 3: WARPED,Platform,Sony Computer Entertainment,E,Naughty Dog,9.3
POKEMON EMERALD VERSION,Role-Playing,Nintendo,E,Game Freak,7.7
NEED FOR SPEED UNDERGROUND 2,Racing,Electronic Arts,E,EA Black Box,8.3
MARIO KART: DOUBLE DASH!!,Racing,Nintendo,E,Nintendo EAD,8.5
UNCHARTED 3: DRAKE'S DECEPTION,Action,Sony Computer Entertainment,T,Naughty Dog,9.3
