rank,name,platform,year,genre,na_sales,eu_sales,jp_sales,other_sales,global_sales,publisher,critic_score,user_score,crtic_esrb_rating,user_esrb_rating
1,Wii Sports,Wii,2006,Sports,41.49,29.02,3.77,8.46,82.74,Nintendo,7.7,,E,
2,Super Mario Bros.,NES,1985,Platform,29.08,3.58,6.81,0.77,40.24,Nintendo,9,,E,
3,Mario Kart Wii,Wii,2008,Racing,15.85,12.88,3.79,3.31,35.82,Nintendo,8.2,9.1,E,E
4,Wii Sports Resort,Wii,2009,Sports,15.75,11.01,3.28,2.96,33,Nintendo,8,8.8,E,E
6,Tetris,GB,1989,Puzzle,23.2,2.26,4.22,0.58,30.26,Nintendo,7.5,,E,
7,New Super Mario Bros.,DS,2006,Platform,11.38,9.23,6.5,2.9,30.01,Nintendo,9.1,8.1,E,E
8,Wii Play,Wii,2006,Misc,14.03,9.2,2.93,2.85,29.02,Nintendo,5.9,4.5,E,E
9,New Super Mario Bros. Wii,Wii,2009,Platform,14.59,7.06,4.7,2.26,28.62,Nintendo,8.6,9.2,E,E
11,Nintendogs,DS,2005,Simulation,9.07,11,1.93,2.75,24.76,Nintendo,8.4,,E,
12,Mario Kart DS,DS,2005,Racing,9.81,7.57,4.13,1.92,23.42,Nintendo,9.1,9.4,E,E
14,Wii Fit,Wii,2007,Sports,8.94,8.03,3.6,2.15,22.72,Nintendo,7.9,,E,
15,Wii Fit Plus,Wii,2009,Sports,9.09,8.59,2.53,1.79,22,Nintendo,8,,E,
16,Kinect Adventures!,X360,2010,Misc,14.97,4.94,0.24,1.67,21.82,Microsoft Game Studios,6.7,,E,
17,Grand Theft Auto V,PS3,2013,Action,7.01,9.27,0.97,4.14,21.4,Take-Two Interactive,9,9,M,M
18,Grand Theft Auto: San Andreas,PS2,2004,Action,9.43,0.4,0.41,10.57,20.81,Take-Two Interactive,9.2,,M,
19,Super Mario World,SNES,1990,Platform,12.78,3.75,3.54,0.55,20.61,Nintendo,8.5,,E,
20,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,4.75,9.26,4.16,2.05,20.22,Nintendo,8.1,,E,
22,Super Mario Land,GB,1989,Platform,10.83,2.71,4.18,0.42,18.14,Nintendo,7.5,,E,
23,Super Mario Bros. 3,NES,1988,Platform,9.54,3.44,3.84,0.46,17.28,Nintendo,9.5,,E,
24,Grand Theft Auto V,X360,2013,Action,9.63,5.31,0.06,1.38,16.38,Take-Two Interactive,9,9,M,M
25,Grand Theft Auto: Vice City,PS2,2002,Action,8.41,5.49,0.47,1.78,16.15,Take-Two Interactive,9,,M,
28,Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,3.44,5.36,5.32,1.18,15.3,Nintendo,8,,E,
29,Gran Turismo 3: A-Spec,PS2,2001,Racing,6.85,5.09,1.87,1.16,14.98,Sony Computer Entertainment,9.3,,E,
30,Call of Duty: Modern Warfare 3,X360,2011,Shooter,9.03,4.28,0.13,1.32,14.76,Activision,4.5,,M,
32,Call of Duty: Black Ops,X360,2010,Shooter,9.67,3.73,0.11,1.13,14.64,Activision,7,,T,
35,Call of Duty: Black Ops II,PS3,2012,Shooter,4.99,5.88,0.65,2.52,14.03,Activision,8.6,,M,
36,Call of Duty: Black Ops II,X360,2012,Shooter,8.25,4.3,0.07,1.12,13.73,Activision,8.6,,M,
37,Call of Duty: Modern Warfare 2,X360,2009,Shooter,8.52,3.63,0.08,1.29,13.51,Activision,9,9,M,M
38,Call of Duty: Modern Warfare 3,PS3,2011,Shooter,5.54,5.82,0.49,1.62,13.46,Activision,4.5,,M,
39,Grand Theft Auto III,PS2,2001,Action,6.99,4.51,0.3,1.3,13.1,Take-Two Interactive,9.1,,M,
