metascore,name,console,userscore,date
95,THE LAST OF US,PS3,9.2,14-Jun-13
93,BIOSHOCK INFINITE,X360,8.5,26-Mar-13
93,SUPER MARIO 3D WORLD,WIIU,8.9,22-Nov-13
92,FIRE EMBLEM: AWAKENING,3DS,9.1,4-Feb-13
91,THE LEGEND OF ZELDA: A LINK BETWEEN WORLDS,3DS,9,22-Nov-13
91,FLOWER,PS4,7.2,15-Nov-13
90,THE LEGEND OF ZELDA: THE WIND WAKER HD,WIIU,8.9,20-Sep-13
90,DOTA 2,PC,6.5,9-Jul-13
90,RAYMAN LEGENDS,X360,8.2,3-Sep-13
88,DEUS EX: HUMAN REVOLUTION - DIRECTOR'S CUT,WIIU,8.5,22-Oct-13
88,CRUSADER KINGS II: THE OLD GODS,PC,8.7,28-May-13
88,STAR WARS PINBALL: BALANCE OF THE FORCE,X360,6.1,16-Oct-13
88,XCOM: ENEMY WITHIN,X360,7.6,12-Nov-13
88,POKEMON Y,3DS,8.6,12-Oct-13
88,THE STANLEY PARABLE,PC,8,17-Oct-13
88,GUACAMELEE! GOLD EDITION,PC,7.3,8-Aug-13
88,ANIMAL CROSSING: NEW LEAF,3DS,8.7,9-Jun-13
87,ROCKSMITH 2014 EDITION,X360,7.5,22-Oct-13
87,POKEMON X,3DS,8.6,12-Oct-13
87,TOMB RAIDER,PS3,8.4,5-Mar-13
87,TEARAWAY,VITA,8.9,22-Nov-13
87,HOTLINE MIAMI,PS3,8.3,25-Jun-13
87,PINBALL FX 2: STAR WARS PINBALL,X360,6.4,27-Feb-13
87,EUROPA UNIVERSALIS IV,PC,8.8,13-Aug-13
87,PIKMIN 3,WIIU,8.7,4-Aug-13
87,VELOCITY ULTRA,VITA,7.9,2-Jul-13
87,NBA 2K14,X360,4.9,1-Oct-13
86,GONE HOME,PC,5.4,15-Aug-13
86,PAC-MAN CHAMPIONSHIP EDITION DX +,PC,7.5,24-Sep-13
86,OUT OF THE PARK BASEBALL 14,PC,8.2,15-Apr-13
86,NEED FOR SPEED: MOST WANTED U,WIIU,7.7,19-Mar-13
86,BORDERLANDS 2: TINY TINA'S ASSAULT ON DRAGON KEEP,X360,8.4,25-Jun-13
86,STARCRAFT II: HEART OF THE SWARM,PC,7.9,12-Mar-13
86,DMC: DEVIL MAY CRY,X360,5.1,15-Jan-13
86,MINECRAFT: PLAYSTATION 3 EDITION,PS3,6.7,17-Dec-13
95,THE LAST OF US REMASTERED,PS4,9.1,29-Jul-14
92,SUPER SMASH BROS. FOR WII U,WIIU,9,21-Nov-14
91,KENTUCKY ROUTE ZERO - ACT III,PC,6.6,6-May-14
91,DARK SOULS II,PC,7.2,24-Apr-14
86,LUIGI'S MANSION: DARK MOON,3DS,8.5,24-Mar-13
86,PATH OF EXILE,PC,8,25-Jan-13
85,NI NO KUNI: WRATH OF THE WHITE WITCH,PS3,8.7,22-Jan-13
89,OUT OF THE PARK BASEBALL 15,PC,7.1,21-Apr-14
89,MINECRAFT: PLAYSTATION 4 EDITION,PS4,6.4,3-Sep-14
88,MARIO KART 8,WIIU,8.9,30-May-14
88,THE BINDING OF ISAAC: REBIRTH,PS4,7.8,4-Nov-14
88,THE LAST OF US: LEFT BEHIND,PS3,8.2,14-Feb-14
85,FOOTBALL MANAGER 2014,PC,5.6,30-Oct-13
85,SID MEIER'S CIVILIZATION V: BRAVE NEW WORLD,PC,8.6,8-Jul-13
85,TRIALS EVOLUTION: GOLD EDITION,PC,6.8,21-Mar-13
88,MINECRAFT: XBOX ONE EDITION,XONE,6.7,18-Nov-14
88,GUACAMELEE! SUPER TURBO CHAMPIONSHIP EDITION,XONE,7,2-Jul-14
88,HEARTHSTONE: HEROES OF WARCRAFT,PC,6.1,11-Mar-14
87,THE WALKING DEAD: SEASON TWO EPISODE 5 - NO GOING BACK,PS3,8.1,26-Aug-14
87,YEAR WALK,PC,7,6-Mar-14
85,"PAPERS, PLEASE",PC,8.5,8-Aug-13
84,GUACAMELEE!,PS3,7.7,9-Apr-13
84,MASS EFFECT 3: CITADEL,PC,7.9,5-Mar-13
84,ASSASSIN'S CREED IV: BLACK FLAG,PC,7.7,19-Nov-13
84,LONE SURVIVOR: THE DIRECTOR'S CUT,PS3,7.8,24-Sep-13
87,MARIO KART 8 DLC PACK 1,WIIU,9,13-Nov-14
87,DIABLO III: REAPER OF SOULS,PC,6.6,25-Mar-14
87,DIVINITY: ORIGINAL SIN,PC,8.7,17-Jan-14
87,WORLD OF WARCRAFT: WARLORDS OF DRAENOR,PC,5.9,13-Nov-14
86,ASTEBREED,PC,7.3,30-May-14
