rank,name,year,genre,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,esrb_rating,userscore,metascore
1,WII SPORTS,2006-01-01,Sports,41.49,29.02,3.77,8.46,82.74,7.7,E,8,76
3,MARIO KART WII,2008-01-01,Racing,15.85,12.88,3.79,3.31,35.82,8.2,E,8.3,82
4,WII SPORTS RESORT,2009-01-01,Sports,15.75,11.01,3.28,2.96,33,8,E,8,80
5,POKEMON RED/POKEMON BLUE,1996-01-01,Role-Playing,11.27,8.89,10.22,1,31.37,,,,
7,NEW SUPER MARIO BROS.,2006-01-01,Platform,11.38,9.23,6.5,2.9,30.01,9.1,E,8.5,89
8,WII PLAY,2006-01-01,Misc,14.03,9.2,2.93,2.85,29.02,5.9,E,6.5,58
9,NEW SUPER MARIO BROS. WII,2009-01-01,Platform,14.59,7.06,4.7,2.26,28.62,8.6,E,8.4,87
10,DUCK HUNT,1984-01-01,Shooter,26.93,0.63,0.28,0.47,28.31,,,,
11,NINTENDOGS,2005-01-01,Simulation,9.07,11,1.93,2.75,24.76,8.4,E,,
12,MARIO KART DS,2005-01-01,Racing,9.81,7.57,4.13,1.92,23.42,9.1,E,8.6,91
13,POKEMON GOLD/POKEMON SILVER,1999-01-01,Role-Playing,9,6.18,7.2,0.71,23.1,,,,
14,WII FIT,2007-01-01,Sports,8.94,8.03,3.6,2.15,22.72,7.9,E,7.7,80
15,WII FIT PLUS,2009-01-01,Sports,9.09,8.59,2.53,1.79,22,8,E,7.3,80
16,KINECT ADVENTURES!,2010-01-01,Misc,14.97,4.94,0.24,1.67,21.82,6.7,E,6.4,61
20,BRAIN AGE: TRAIN YOUR BRAIN IN MINUTES A DAY,2005-01-01,Misc,4.75,9.26,4.16,2.05,20.22,8.1,E,,
21,POKEMON DIAMOND/POKEMON PEARL,2006-01-01,Role-Playing,6.42,4.52,6.04,1.37,18.36,,,,
22,SUPER MARIO LAND,1989-01-01,Platform,10.83,2.71,4.18,0.42,18.14,7.5,E,,
26,POKEMON RUBY/POKEMON SAPPHIRE,2002-01-01,Role-Playing,6.06,3.9,5.38,0.5,15.85,,,,
27,POKEMON BLACK/POKEMON WHITE,2010-01-01,Role-Playing,5.57,3.28,5.65,0.82,15.32,,,,
28,BRAIN AGE 2: MORE TRAINING IN MINUTES A DAY,2005-01-01,Puzzle,3.44,5.36,5.32,1.18,15.3,8,E,7.2,77
29,GRAN TURISMO 3: A-SPEC,2001-01-01,Racing,6.85,5.09,1.87,1.16,14.98,9.3,E,8.4,95
31,POKÉMON YELLOW: SPECIAL PIKACHU EDITION,1998-01-01,Role-Playing,5.89,5.04,3.12,0.59,14.64,,,,
33,POKEMON X/POKEMON Y,2013-01-01,Role-Playing,5.17,4.05,4.34,0.79,14.35,,,,
40,SUPER SMASH BROS. BRAWL,2008-01-01,Fighting,6.75,2.61,2.66,1.02,13.04,9.2,T,8.9,93
42,ANIMAL CROSSING: WILD WORLD,2005-01-01,Simulation,2.55,3.52,5.33,0.88,12.27,8.5,E,8.6,86
