,Rank,Name,Platform,Genre,Publisher,ESRB_Rating,Developer,Critic_Score
0,1,Wii Sports,Wii,Sports,Nintendo,E,Nintendo EAD,7.7
2,3,Mario Kart Wii,Wii,Racing,Nintendo,E,Nintendo EAD,8.2
4,5,Wii Sports Resort,Wii,Sports,Nintendo,E,Nintendo EAD,8.0
5,6,Pokemon Red / Green / Blue Version,GB,Role-Playing,Nintendo,E,Game Freak,9.4
6,7,New Super Mario Bros.,DS,Platform,Nintendo,E,Nintendo EAD,9.1
8,9,New Super Mario Bros. Wii,Wii,Platform,Nintendo,E,Nintendo EAD,8.6
11,12,Wii Play,Wii,Misc,Nintendo,E,Nintendo EAD,5.9
12,13,Kinect Adventures!,X360,Party,Microsoft Game Studios,E,Good Science Studio,6.7
13,14,Nintendogs,DS,Simulation,Nintendo,E,Nintendo EAD,8.4
14,15,Mario Kart DS,DS,Racing,Nintendo,E,Nintendo EAD,9.1
15,16,Pokemon Gold / Silver Version,GB,Role-Playing,Nintendo,E,Game Freak,9.2
16,17,Wii Fit,Wii,Sports,Nintendo,E,Nintendo EAD,7.9
17,18,Wii Fit Plus,Wii,Sports,Nintendo,E,Nintendo EAD,8.0
18,19,Super Mario World,SNES,Platform,Nintendo,E,Nintendo EAD,8.5
19,20,Grand Theft Auto V,PS3,Action,Rockstar Games,M,Rockstar North,9.4
20,21,Grand Theft Auto V,PS4,Action,Rockstar Games,M,Rockstar North,9.7
21,22,Brain Age: Train Your Brain in Minutes a Day,DS,Misc,Nintendo,E,Nintendo SDD,8.1
24,25,Mario Kart 7,3DS,Racing,Nintendo,E,Nintendo EAD / Retro Studios,8.2
25,26,Pokemon Diamond / Pearl Version,DS,Role-Playing,Nintendo,E,Game Freak,8.6
26,27,Grand Theft Auto: San Andreas,PS2,Action,Rockstar Games,M,Rockstar North,9.5
28,29,Pokemon X/Y,3DS,Role-Playing,Nintendo,E,Game Freak,8.9
29,30,Pokemon Ruby / Sapphire Version,GBA,Role-Playing,Nintendo,E,Game Freak,8.8
30,31,Grand Theft Auto: Vice City,PS2,Action,Rockstar Games,M,Rockstar North,9.6
31,32,Pokemon Sun/Moon,3DS,Role-Playing,Nintendo,E,Game Freak,9.0
33,34,Pokemon Black / White Version,DS,Role-Playing,Nintendo,E,Game Freak,8.6
35,36,Mario Kart 8 Deluxe,NS,Racing,Nintendo,E,Nintendo EPD,9.3
36,37,Counter-Strike: Source,PC,Shooter,VU Games,M,Valve Software,9.3
38,39,Gran Turismo 3: A-Spec,PS2,Racing,Sony Computer Entertainment,E,Polyphony Digital,9.3
39,40,Brain Age 2: More Training in Minutes a Day,DS,Misc,Nintendo,E,Nintendo SDD,8.0
40,41,Call of Duty: Modern Warfare 3,X360,Shooter,Activision,M,Infinity Ward,8.7
41,42,Call of Duty: Black Ops,X360,Shooter,Activision,M,Treyarch,8.8
42,43,Pokemon Yellow: Special Pikachu Edition,GB,Role-Playing,Nintendo,E,Game Freak,8.7
43,44,Halo 3,X360,Shooter,Microsoft Game Studios,M,Bungie Studios,9.6
45,46,Red Dead Redemption 2,PS4,Action-Adventure,Rockstar Games,M,Rockstar Games,9.8
48,49,Super Mario Odyssey,NS,Platform,Nintendo,E10,Nintendo EPD,9.9
49,50,Call of Duty: Modern Warfare 2,X360,Shooter,Activision,M,Infinity Ward,9.5
50,51,Call of Duty: WWII,PS4,Shooter,Activision,M,Sledgehammer Games,8.0
51,52,Call of Duty: Modern Warfare 3,PS3,Shooter,Activision,M,Infinity Ward,8.8
52,53,Super Smash Bros. Brawl,Wii,Fighting,Nintendo,T,Project Sora,9.2
53,54,Grand Theft Auto III,PS2,Action,Rockstar Games,M,DMA Design,9.5
54,55,New Super Mario Bros. 2,3DS,Platform,Nintendo,E,Nintendo,7.5
55,56,Portal 2,PC,Shooter,Valve,E10,Valve Software,9.7
57,58,Super Mario Galaxy,Wii,Platform,Nintendo,E,Nintendo EAD Tokyo,9.7
58,59,Pokemon Heart Gold / Soul Silver Version,DS,Role-Playing,Nintendo,E,Game Freak,8.6
59,60,Call of Duty: Black Ops,PS3,Shooter,Activision,M,Treyarch,8.7
61,62,Super Mario 3D Land,3DS,Platform,Nintendo,E,Nintendo EAD Tokyo,8.9
62,63,Animal Crossing: New Leaf,3DS,Simulation,Nintendo,E,Nintendo EAD,8.6
63,64,Super Smash Bros. Ultimate,NS,Fighting,Nintendo,E10,Bandai Namco Games,9.4
64,65,Diablo III,PC,Role-Playing,Blizzard Entertainment,M,Blizzard Entertainment,9.0
65,66,Pokemon FireRed / LeafGreen Version,GBA,Role-Playing,Nintendo,E,Game Freak,8.3
66,67,Gran Turismo 5,PS3,Racing,Sony Computer Entertainment,E,Polyphony Digital,8.3
67,68,Super Mario 64,N64,Platform,Nintendo,E,Nintendo EAD,9.7
68,69,FIFA 18,PS4,Sports,EA Sports,E,EA Vancouver,8.3
69,70,Gran Turismo 4,PS2,Racing,Sony Computer Entertainment,E,Polyphony Digital,8.7
70,71,Animal Crossing: Wild World,DS,Simulation,Nintendo,E,Nintendo EAD,8.5
71,72,The Legend of Zelda: Breath of the Wild,NS,Action-Adventure,Nintendo,E10,Nintendo EPD,9.9
72,73,Super Mario Land 2: 6 Golden Coins,GB,Platform,Nintendo,E,Nintendo R&D1,9.0
73,74,Grand Theft Auto IV,X360,Action,Rockstar Games,M,Rockstar North,10.0
74,75,Super Mario 64 DS,DS,Platform,Nintendo,E,Nintendo EAD,8.6
75,76,Terraria,PC,Platform,Unknown,T,Re-Logic,8.8
76,77,FIFA 17,PS4,Sports,Electronic Arts,E,EA Canada,8.9
77,78,Gran Turismo,PS,Racing,Sony Computer Entertainment,E,Polyphony Digital,9.5
78,79,Call of Duty: Modern Warfare 2,PS3,Shooter,Activision,M,Infinity Ward,9.5
79,80,Grand Theft Auto IV,PS3,Action,Rockstar Games,M,Rockstar North,10.0
81,82,Call of Duty: Ghosts,X360,Shooter,Activision,M,Infinity Ward,6.9
82,83,Just Dance 3,Wii,Misc,Ubisoft,E10,Ubisoft Paris,7.5
83,84,Call of Duty: Ghosts,PS3,Shooter,Activision,M,Infinity Ward,7.5
84,85,Horizon: Zero Dawn,PS4,Action,Sony Interactive Entertainment,T,Guerrilla Games,9.1
86,87,RollerCoaster Tycoon 3,PC,Strategy,Atari,E,Frontier Developments,8.3
87,88,Halo: Reach,X360,Shooter,Microsoft Game Studios,M,Bungie,9.3
88,89,Portal,PC,Shooter,Valve Corporation,T,Valve Software,9.0
90,91,Final Fantasy VII,PS,Role-Playing,Sony Computer Entertainment,T,SquareSoft,9.6
91,92,Mario Kart 64,N64,Racing,Nintendo,E,Nintendo EAD,8.5
92,93,StarCraft,PC,Strategy,Blizzard Entertainment,T,Blizzard Entertainment,8.7
93,94,Super Smash Bros. for 3DS,3DS,Fighting,Nintendo,E10,Bandai Namco Games,8.4
94,95,Call of Duty 4: Modern Warfare,X360,Shooter,Activision,M,Infinity Ward,9.6
95,96,Gran Turismo 2,PS,Racing,Sony Computer Entertainment,E,Polyphony Digital,9.2
96,97,Wii Party,Wii,Misc,Nintendo,E,"Nd Cube Co., Ltd.",7.0
98,99,Mario Party DS,DS,Misc,Nintendo,E,Hudson Soft,7.1
99,100,Donkey Kong Country,SNES,Platform,Nintendo,E,Rare Ltd.,9.0
102,103,Marvel's Spider-Man,PS4,Action-Adventure,Sony Interactive Entertainment,T,Insomniac Games,9.1
103,104,Half-Life 2,PC,Shooter,VU Games,M,Valve Software,9.7
104,105,The Elder Scrolls V: Skyrim,X360,Role-Playing,Bethesda Softworks,M,Bethesda Game Studios,9.3
105,106,Mario Party 8,Wii,Misc,Nintendo,E,Hudson Soft,6.5
106,107,Super Mario Kart,SNES,Racing,Nintendo,E,Nintendo EAD,10.0
107,108,Grand Theft Auto V,XOne,Action,Rockstar Games,M,Rockstar North,9.0
108,109,Uncharted 4: A Thief's End,PS4,Action,Sony Interactive Entertainment,T,Naughty Dog,9.2
109,110,Final Fantasy VIII,PS,Role-Playing,Square EA,T,SquareSoft,9.4
110,111,Final Fantasy X,PS2,Role-Playing,Square,T,SquareSoft,9.0
111,112,Pokemon Black 2 and White 2,DS,Role-Playing,Nintendo,E,Game Freak,8.0
113,114,Fallout 4,PS4,Role-Playing,Bethesda Softworks,M,Bethesda Game Studios,8.6
114,115,Mario Kart 8,WiiU,Racing,Nintendo,E,Nintendo,8.8
115,116,Tekken 3,PS,Fighting,Namco,T,Namco,9.6
116,117,Pokemon: Ultra Sun and Ultra Moon,3DS,Role-Playing,Nintendo,E,Game Freak,8.1
117,118,Splatoon 2,NS,Shooter,Nintendo,E10,Nintendo EPD,8.2
118,119,FIFA 16,PS4,Sports,EA Sports,E,EA Canada,8.5
119,120,GoldenEye 007,N64,Shooter,Nintendo,T,Rare Ltd.,9.8
120,121,Star Wars Battlefront (2015),PS4,Shooter,Electronic Arts,T,EA DICE,7.1
122,123,Halo 2,XB,Shooter,Microsoft Game Studios,M,Bungie Studios,9.6
123,124,The Sims 3,PC,Simulation,Electronic Arts,T,EA Redwood Shores,8.5
124,125,Grand Theft Auto: Liberty City Stories,PSP,Action,Rockstar Games,M,Rockstar Leeds,8.8
126,127,Pokemon Platinum Version,DS,Role-Playing,Nintendo,E,Game Freak,8.3
127,128,The Legend of Zelda: Ocarina of Time,N64,Adventure,Nintendo,E,Nintendo EAD,9.9
128,129,Crash Bandicoot 2: Cortex Strikes Back,PS,Platform,Sony Computer Entertainment,E,Naughty Dog,8.6
129,130,Call of Duty: Advanced Warfare,PS4,Shooter,Activision,M,Sledgehammer Games,8.5
130,131,Call of Duty: World at War,X360,Shooter,Activision,M,Treyarch,8.5
132,133,Super Mario Galaxy 2,Wii,Platform,Nintendo,E,Nintendo EAD Tokyo,9.7
133,134,Super Smash Bros. Melee,GC,Fighting,Nintendo,T,HAL Laboratory,9.2
135,136,Battlefield 3,X360,Shooter,Electronic Arts,M,Dice,8.5
136,137,The Legend of Zelda: Twilight Princess,Wii,Adventure,Nintendo,T,Nintendo EAD,9.5
138,139,Battlefield 3,PS3,Shooter,Electronic Arts,M,Dice,8.5
139,140,Need for Speed Underground,PS2,Racing,Electronic Arts,E,EA Black Box,8.6
141,142,Crash Bandicoot 3: Warped,PS,Platform,Sony Computer Entertainment,E,Naughty Dog,9.3
142,143,Pokemon Emerald Version,GBA,Role-Playing,Nintendo,E,Game Freak,7.7
144,145,Need for Speed Underground 2,PS2,Racing,Electronic Arts,E,EA Black Box,8.3
146,147,Mario Kart: Double Dash!!,GC,Racing,Nintendo,E,Nintendo EAD,8.5
147,148,Uncharted 3: Drake's Deception,PS3,Action,Sony Computer Entertainment,T,Naughty Dog,9.3
148,149,Medal of Honor: Frontline,PS2,Shooter,Electronic Arts,T,EA Los Angeles,9.0
149,150,Crash Bandicoot,PS,Platform,Sony Computer Entertainment,E,Naughty Dog,7.8
151,152,Uncharted 2: Among Thieves,PS3,Action,Sony Computer Entertainment,T,Naughty Dog,9.5
152,153,Call of Duty 4: Modern Warfare,PS3,Shooter,Activision,M,Infinity Ward,9.5
153,154,FIFA Soccer 12,PS3,Sports,EA Sports,E,EA Canada,9.2
155,156,Red Dead Redemption,PS3,Action,Rockstar Games,M,Rockstar San Diego,9.5
156,157,Donkey Kong Country Returns,Wii,Platform,Nintendo,E,Retro Studios,8.6
158,159,Assassin's Creed III,PS3,Action-Adventure,Ubisoft,M,Ubisoft Montreal,8.8
159,160,Guild Wars,PC,Role-Playing,NCSoft,T,ArenaNet,8.7
160,161,Red Dead Redemption,X360,Action,Rockstar Games,M,Rockstar San Diego,9.5
161,162,The Elder Scrolls V: Skyrim,PS3,Role-Playing,Bethesda Softworks,M,Bethesda Game Studios,9.0
162,163,Final Fantasy XII,PS2,Role-Playing,Square Enix,T,Square Enix,9.4
163,164,Tomodachi Life,3DS,Simulation,Nintendo,E,Nintendo,7.8
164,165,Pokemon Crystal Version,GBC,Role-Playing,Nintendo,E,Game Freak,8.7
165,166,Halo 3: ODST,X360,Shooter,Microsoft Game Studios,M,Bungie,8.7
166,167,Minecraft,PS4,Misc,Sony Computer Entertainment,E10,Mojang,9.4
167,168,FIFA 15,PS4,Sports,EA Sports,E,EA Canada,8.1
168,169,Kingdom Hearts,PS2,Role-Playing,Square EA,E,SquareSoft,8.5
170,171,The Last of Us,PS3,Action-Adventure,Sony Computer Entertainment America,M,Naughty Dog,9.5
171,172,Driver,PS,Action,GT Interactive,T,Reflections Interactive,8.5
173,174,God of War (2018),PS4,Action,Sony Interactive Entertainment,M,SIE Santa Monica Studio,9.7
