Rank,Name,Platform,Genre,Publisher,ESRB_Rating,Developer,User_Score
3,Mario Kart Wii,Wii,Racing,Nintendo,E,Nintendo EAD,9.1
5,Wii Sports Resort,Wii,Sports,Nintendo,E,Nintendo EAD,8.8
7,New Super Mario Bros.,DS,Platform,Nintendo,E,Nintendo EAD,8.1
9,New Super Mario Bros. Wii,Wii,Platform,Nintendo,E,Nintendo EAD,9.2
12,Wii Play,Wii,Misc,Nintendo,E,Nintendo EAD,4.5
15,Mario Kart DS,DS,Racing,Nintendo,E,Nintendo EAD,9.4
29,Pokemon X/Y,3DS,Role-Playing,Nintendo,E,Game Freak,9.7
34,Pokemon Black / White Version,DS,Role-Playing,Nintendo,E,Game Freak,9
44,Halo 3,X360,Shooter,Microsoft Game Studios,M,Bungie Studios,9.5
50,Call of Duty: Modern Warfare 2,X360,Shooter,Activision,M,Infinity Ward,9
53,Super Smash Bros. Brawl,Wii,Fighting,Nintendo,T,Project Sora,9.7
58,Super Mario Galaxy,Wii,Platform,Nintendo,E,Nintendo EAD Tokyo,9.6
64,Super Smash Bros. Ultimate,NS,Fighting,Nintendo,E10,Bandai Namco Games,9.7
72,The Legend of Zelda: Breath of the Wild,NS,Action-Adventure,Nintendo,E10,Nintendo EPD,10
80,Grand Theft Auto IV,PS3,Action,Rockstar Games,M,Rockstar North,9
81,Super Mario All-Stars,SNES,Platform,Nintendo,E,Nintendo EAD,9.5
85,Horizon: Zero Dawn,PS4,Action,Sony Interactive Entertainment,T,Guerrilla Games,8
91,Final Fantasy VII,PS,Role-Playing,Sony Computer Entertainment,T,SquareSoft,9.5
95,Call of Duty 4: Modern Warfare,X360,Shooter,Activision,M,Infinity Ward,9
108,Grand Theft Auto V,XOne,Action,Rockstar Games,M,Rockstar North,9
111,Final Fantasy X,PS2,Role-Playing,Square,T,SquareSoft,10
112,Pokemon Black 2 and White 2,DS,Role-Playing,Nintendo,E,Game Freak,8.3
127,Pokemon Platinum Version,DS,Role-Playing,Nintendo,E,Game Freak,8.9
128,The Legend of Zelda: Ocarina of Time,N64,Adventure,Nintendo,E,Nintendo EAD,10
131,Call of Duty: World at War,X360,Shooter,Activision,M,Treyarch,7.8
133,Super Mario Galaxy 2,Wii,Platform,Nintendo,E,Nintendo EAD Tokyo,9.8
