Name,Genre,Publisher,ESRB_Rating,Developer,Critic_Score
Wii Sports,Sports,Nintendo,E,Nintendo EAD,7.7
Mario Kart Wii,Racing,Nintendo,E,Nintendo EAD,8.2
Wii Sports Resort,Sports,Nintendo,E,Nintendo EAD,8.0
Pokemon Red / Green / Blue Version,Role-Playing,Nintendo,E,Game Freak,9.4
New Super Mario Bros.,Platform,Nintendo,E,Nintendo EAD,9.1
New Super Mario Bros. Wii,Platform,Nintendo,E,Nintendo EAD,8.6
Wii Play,Misc,Nintendo,E,Nintendo EAD,5.9
Kinect Adventures!,Party,Microsoft Game Studios,E,Good Science Studio,6.7
Nintendogs,Simulation,Nintendo,E,Nintendo EAD,8.4
Mario Kart DS,Racing,Nintendo,E,Nintendo EAD,9.1
Pokemon Gold / Silver Version,Role-Playing,Nintendo,E,Game Freak,9.2
Wii Fit,Sports,Nintendo,E,Nintendo EAD,7.9
Wii Fit Plus,Sports,Nintendo,E,Nintendo EAD,8.0
Brain Age: Train Your Brain in Minutes a Day,Misc,Nintendo,E,Nintendo SDD,8.1
Mario Kart 7,Racing,Nintendo,E,Nintendo EAD / Retro Studios,8.2
Pokemon Diamond / Pearl Version,Role-Playing,Nintendo,E,Game Freak,8.6
Pokemon X/Y,Role-Playing,Nintendo,E,Game Freak,8.9
Pokemon Ruby / Sapphire Version,Role-Playing,Nintendo,E,Game Freak,8.8
Pokemon Sun/Moon,Role-Playing,Nintendo,E,Game Freak,9.0
Pokemon Black / White Version,Role-Playing,Nintendo,E,Game Freak,8.6
Mario Kart 8 Deluxe,Racing,Nintendo,E,Nintendo EPD,9.3
Counter-Strike: Source,Shooter,VU Games,M,Valve Software,9.3
Gran Turismo 3: A-Spec,Racing,Sony Computer Entertainment,E,Polyphony Digital,9.3
Brain Age 2: More Training in Minutes a Day,Misc,Nintendo,E,Nintendo SDD,8.0
Pokemon Yellow: Special Pikachu Edition,Role-Playing,Nintendo,E,Game Freak,8.7
Halo 3,Shooter,Microsoft Game Studios,M,Bungie Studios,9.6
Red Dead Redemption 2,Action-Adventure,Rockstar Games,M,Rockstar Games,9.8
Super Mario Odyssey,Platform,Nintendo,E10,Nintendo EPD,9.9
Call of Duty: WWII,Shooter,Activision,M,Sledgehammer Games,8.0
Super Smash Bros. Brawl,Fighting,Nintendo,T,Project Sora,9.2
New Super Mario Bros. 2,Platform,Nintendo,E,Nintendo,7.5
Super Mario Galaxy,Platform,Nintendo,E,Nintendo EAD Tokyo,9.7
Pokemon Heart Gold / Soul Silver Version,Role-Playing,Nintendo,E,Game Freak,8.6
Super Mario 3D Land,Platform,Nintendo,E,Nintendo EAD Tokyo,8.9
Animal Crossing: New Leaf,Simulation,Nintendo,E,Nintendo EAD,8.6
Super Smash Bros. Ultimate,Fighting,Nintendo,E10,Bandai Namco Games,9.4
Diablo III,Role-Playing,Blizzard Entertainment,M,Blizzard Entertainment,9.0
Pokemon FireRed / LeafGreen Version,Role-Playing,Nintendo,E,Game Freak,8.3
Gran Turismo 5,Racing,Sony Computer Entertainment,E,Polyphony Digital,8.3
Gran Turismo 4,Racing,Sony Computer Entertainment,E,Polyphony Digital,8.7
Animal Crossing: Wild World,Simulation,Nintendo,E,Nintendo EAD,8.5
The Legend of Zelda: Breath of the Wild,Action-Adventure,Nintendo,E10,Nintendo EPD,9.9
Super Mario Land 2: 6 Golden Coins,Platform,Nintendo,E,Nintendo R&D1,9.0
Super Mario 64 DS,Platform,Nintendo,E,Nintendo EAD,8.6
Call of Duty: Ghosts,Shooter,Activision,M,Infinity Ward,6.9
Horizon: Zero Dawn,Action,Sony Interactive Entertainment,T,Guerrilla Games,9.1
RollerCoaster Tycoon 3,Strategy,Atari,E,Frontier Developments,8.3
Halo: Reach,Shooter,Microsoft Game Studios,M,Bungie,9.3
Portal,Shooter,Valve Corporation,T,Valve Software,9.0
StarCraft,Strategy,Blizzard Entertainment,T,Blizzard Entertainment,8.7
Super Smash Bros. for 3DS,Fighting,Nintendo,E10,Bandai Namco Games,8.4
Gran Turismo 2,Racing,Sony Computer Entertainment,E,Polyphony Digital,9.2
Wii Party,Misc,Nintendo,E,"Nd Cube Co., Ltd.",7.0
Mario Party DS,Misc,Nintendo,E,Hudson Soft,7.1
Marvel's Spider-Man,Action-Adventure,Sony Interactive Entertainment,T,Insomniac Games,9.1
Mario Party 8,Misc,Nintendo,E,Hudson Soft,6.5
Super Mario Kart,Racing,Nintendo,E,Nintendo EAD,10.0
Grand Theft Auto V,Action,Rockstar Games,M,Rockstar North,9.0
Uncharted 4: A Thief's End,Action,Sony Interactive Entertainment,T,Naughty Dog,9.2
Final Fantasy X,Role-Playing,Square,T,SquareSoft,9.0
Pokemon Black 2 and White 2,Role-Playing,Nintendo,E,Game Freak,8.0
Mario Kart 8,Racing,Nintendo,E,Nintendo,8.8
Tekken 3,Fighting,Namco,T,Namco,9.6
Pokemon: Ultra Sun and Ultra Moon,Role-Playing,Nintendo,E,Game Freak,8.1
Splatoon 2,Shooter,Nintendo,E10,Nintendo EPD,8.2
FIFA 16,Sports,EA Sports,E,EA Canada,8.5
Pokemon Platinum Version,Role-Playing,Nintendo,E,Game Freak,8.3
Crash Bandicoot 2: Cortex Strikes Back,Platform,Sony Computer Entertainment,E,Naughty Dog,8.6
Super Mario Galaxy 2,Platform,Nintendo,E,Nintendo EAD Tokyo,9.7
Super Smash Bros. Melee,Fighting,Nintendo,T,HAL Laboratory,9.2
Battlefield 3,Shooter,Electronic Arts,M,Dice,8.5
Need for Speed Underground,Racing,Electronic Arts,E,EA Black Box,8.6
Crash Bandicoot 3: Warped,Platform,Sony Computer Entertainment,E,Naughty Dog,9.3
Pokemon Emerald Version,Role-Playing,Nintendo,E,Game Freak,7.7
Need for Speed Underground 2,Racing,Electronic Arts,E,EA Black Box,8.3
Mario Kart: Double Dash!!,Racing,Nintendo,E,Nintendo EAD,8.5
Uncharted 3: Drake's Deception,Action,Sony Computer Entertainment,T,Naughty Dog,9.3
Crash Bandicoot,Platform,Sony Computer Entertainment,E,Naughty Dog,7.8
Uncharted 2: Among Thieves,Action,Sony Computer Entertainment,T,Naughty Dog,9.5
Red Dead Redemption,Action,Rockstar Games,M,Rockstar San Diego,9.5
Donkey Kong Country Returns,Platform,Nintendo,E,Retro Studios,8.6
Guild Wars,Role-Playing,NCSoft,T,ArenaNet,8.7
Final Fantasy XII,Role-Playing,Square Enix,T,Square Enix,9.4
Tomodachi Life,Simulation,Nintendo,E,Nintendo,7.8
