Name,Genre,Publisher,ESRB_Rating,Developer,User_Score
Mario Kart Wii,Racing,Nintendo,E,Nintendo EAD,9.1
Wii Sports Resort,Sports,Nintendo,E,Nintendo EAD,8.8
New Super Mario Bros.,Platform,Nintendo,E,Nintendo EAD,8.1
New Super Mario Bros. Wii,Platform,Nintendo,E,Nintendo EAD,9.2
Wii Play,Misc,Nintendo,E,Nintendo EAD,4.5
Mario Kart DS,Racing,Nintendo,E,Nintendo EAD,9.4
Pokemon X/Y,Role-Playing,Nintendo,E,Game Freak,9.7
Pokemon Black / White Version,Role-Playing,Nintendo,E,Game Freak,9.0
Halo 3,Shooter,Microsoft Game Studios,M,Bungie Studios,9.5
Call of Duty: Modern Warfare 2,Shooter,Activision,M,Infinity Ward,9.0
Super Smash Bros. Brawl,Fighting,Nintendo,T,Project Sora,9.7
Super Mario Galaxy,Platform,Nintendo,E,Nintendo EAD Tokyo,9.6
Super Smash Bros. Ultimate,Fighting,Nintendo,E10,Bandai Namco Games,9.7
The Legend of Zelda: Breath of the Wild,Action-Adventure,Nintendo,E10,Nintendo EPD,10.0
Grand Theft Auto IV,Action,Rockstar Games,M,Rockstar North,9.0
Super Mario All-Stars,Platform,Nintendo,E,Nintendo EAD,9.5
Horizon: Zero Dawn,Action,Sony Interactive Entertainment,T,Guerrilla Games,8.0
Final Fantasy VII,Role-Playing,Sony Computer Entertainment,T,SquareSoft,9.5
Call of Duty 4: Modern Warfare,Shooter,Activision,M,Infinity Ward,9.0
Grand Theft Auto V,Action,Rockstar Games,M,Rockstar North,9.0
Final Fantasy X,Role-Playing,Square,T,SquareSoft,10.0
Pokemon Black 2 and White 2,Role-Playing,Nintendo,E,Game Freak,8.3
Pokemon Platinum Version,Role-Playing,Nintendo,E,Game Freak,8.9
The Legend of Zelda: Ocarina of Time,Adventure,Nintendo,E,Nintendo EAD,10.0
Call of Duty: World at War,Shooter,Activision,M,Treyarch,7.8
Super Mario Galaxy 2,Platform,Nintendo,E,Nintendo EAD Tokyo,9.8
The Legend of Zelda: Twilight Princess,Adventure,Nintendo,T,Nintendo EAD,9.6
Uncharted 3: Drake's Deception,Action,Sony Computer Entertainment,T,Naughty Dog,6.3
Uncharted 2: Among Thieves,Action,Sony Computer Entertainment,T,Naughty Dog,9.6
Red Dead Redemption,Action,Rockstar Games,M,Rockstar San Diego,10.0
Final Fantasy XII,Role-Playing,Square Enix,T,Square Enix,9.5
Metal Gear Solid 2: Sons of Liberty,Action,Konami,M,Konami Computer Entertainment Japan,7.0
Metal Gear Solid 4: Guns of the Patriots,Action,Konami,M,Kojima Productions,9.8
LittleBigPlanet,Platform,Sony Computer Entertainment,E,Media Molecule,9.2
Assassin's Creed,Action,Ubisoft,M,Ubisoft Montreal,8.0
Forza Motorsport 3,Racing,Microsoft Game Studios,E,Turn 10 Studios,9.8
Final Fantasy XIII,Role-Playing,Square Enix,T,Square Enix,9.2
God of War III,Action,Sony Computer Entertainment,M,SCEA Santa Monica Studio,9.4
Resident Evil 5,Action,Capcom,M,Capcom,8.8
Gears of War,Shooter,Microsoft Game Studios,M,Epic Games,9.4
Gears of War 2,Shooter,Microsoft Game Studios,M,Epic Games,9.5
Uncharted: Drake's Fortune,Action,Sony Computer Entertainment,T,Naughty Dog,8.6
Fallout 3,Role-Playing,Bethesda Softworks,M,Bethesda Game Studios,8.6
Monster Hunter: World,Action,Capcom,T,Capcom,9.0
Gran Turismo,Racing,Sony Computer Entertainment,E,Polyphony Digital,9.5
Resistance: Fall of Man,Shooter,Sony Computer Entertainment,M,Insomniac Games,9.1
Animal Crossing: City Folk,Simulation,Nintendo,E,Nintendo EAD,8.8
God of War II,Action,Sony Computer Entertainment,M,SCEA Santa Monica Studio,9.8
Street Fighter IV,Fighting,Capcom,T,Capcom / Dimps Corporation,9.0
World of Warcraft: Wrath of the Lich King,MMO,Blizzard Entertainment,T,Blizzard Entertainment,9.3
Monster Hunter Freedom Unite,Role-Playing,Capcom,T,Capcom Production Studio 1,9.7
Banjo-Kazooie,Platform,Nintendo,E,Rare Ltd.,9.4
Jak and Daxter: The Precursor Legacy,Platform,Sony Computer Entertainment,E,Naughty Dog,8.9
Fable II,Role-Playing,Microsoft Game Studios,M,Lionhead Studios,9.3
Guitar Hero: On Tour,Misc,Activision,E10,Vicarious Visions,8.1
God of War: Chains of Olympus,Action,Sony Computer Entertainment,M,Ready at Dawn,9.5
Mass Effect 2,Role-Playing,Electronic Arts,M,BioWare Edmonton,8.9
Heavy Rain,Adventure,Sony Computer Entertainment,M,Quantic Dream,8.6
Tom Clancy's Splinter Cell,Action,Ubisoft,T,Ubisoft,9.1
Killzone 2,Shooter,Sony Computer Entertainment,M,Guerrilla Games,9.3
Crysis,Shooter,Electronic Arts,M,Crytek,8.5
inFAMOUS,Action,Sony Computer Entertainment,T,Sucker Punch Productions,9.1
Battlefield: Bad Company 2,Shooter,Electronic Arts,M,EA Digital Illusions CE,8.8
Mass Effect,Role-Playing,Microsoft Game Studios,M,BioWare Edmonton,9.1
Metroid Prime,Shooter,Nintendo,T,Retro Studios,9.5
BioShock,Shooter,2K Games,M,2K Australia / 2K Boston,9.5
Halo Wars,Strategy,Microsoft Game Studios,T,Ensemble Studios,8.5
Crisis Core: Final Fantasy VII,Role-Playing,Square Enix,T,Square Enix,9.0
Resistance 2,Shooter,Sony Computer Entertainment,M,Insomniac Games,8.7
Kirby Star Allies,Platform,Nintendo,E10,HAL Laboratory,10.0
Resident Evil 4,Action,Capcom,M,Capcom Production Studio 4,9.3
Guitar Hero III: Legends of Rock,Misc,RedOctane,T,Neversoft,8.0
Call of Duty 3,Shooter,Activision,T,EXAKT Entertainment,7.3
Prince of Persia: The Sands of Time,Adventure,Ubisoft,T,Ubisoft Montreal,9.1
Devil May Cry,Action,Capcom,M,Capcom,9.3
Call of Duty 2,Shooter,Activision,T,Infinity Ward,9.1
Onimusha: Warlords,Action,Capcom,M,Flagship,7.3
Donkey Kong Country: Tropical Freeze,Platform,Nintendo,E,Retro Studios,9.1
Dissidia: Final Fantasy,Fighting,Square Enix,T,Square Enix,10.0
Monster Hunter Tri,Role-Playing,Capcom,T,Capcom Production Studio 1,10.0
Ratchet & Clank Future: A Crack in Time,Platform,Sony Computer Entertainment,E10,Insomniac Games,9.0
Star Wars: The Force Unleashed,Action,LucasArts,T,Krome Studios,7.4
The Legend of Dragoon,Role-Playing,Sony Computer Entertainment,T,SCEI,6.5
Demon's Souls,Role-Playing,Atlus,M,From Software,9.5
Crackdown,Shooter,Microsoft Game Studios,M,Realtime Worlds,7.0
Sonic Unleashed,Platform,Sega,E10,Sonic Team/Dimps Corporation,8.2
Devil May Cry 4,Action,Capcom,M,Capcom,8.2
Yoshi's Woolly World,Platform,Nintendo,E,Good-Feel,6.0
Sonic the Hedgehog (2006),Platform,Sega,E10,Sonic Team,4.8
Call of Duty: Modern Warfare: Reflex Edition,Shooter,Activision,M,Treyarch,8.9
Octopath Traveler,Role-Playing,Nintendo,T,Square Enix,8.7
Tom Clancy's Splinter Cell: Pandora Tomorrow,Action,Ubisoft,T,Ubisoft Shanghai,9.0
Resident Evil 4: Wii Edition,Action,Capcom,M,Capcom Production Studio 4,9.7
The House of the Dead 2 & 3 Return,Shooter,Sega,M,Sega,7.0
Metroid Prime 3: Corruption,Shooter,Nintendo,T,Retro Studios,9.4
Star Wars Knights of the Old Republic II: The Sith Lords,Role-Playing,LucasArts,T,Obsidian Entertainment,9.3
Grand Theft Auto: Chinatown Wars,Adventure,Rockstar Games,M,Rockstar Leeds/North,9.6
MAG: Massive Action Game,Shooter,Sony Computer Entertainment,T,Zipper Interactive,9.5
Final Fantasy: Crystal Chronicles,Role-Playing,Nintendo,T,Square Enix,7.5
Resident Evil: The Umbrella Chronicles,Shooter,Capcom,M,Cavia Inc.,8.0
Castlevania: Symphony of the Night,Platform,Konami,T,Konami Computer Entertainment Tokyo,9.0
Bayonetta,Action,Sega,M,PlatinumGames,7.2
Final Fantasy IV,Role-Playing,Square Enix,E10,Matrix Software,9.0
Sonic and the Black Knight,Platform,Sega,E10,Sonic Team,8.5
Army of Two,Shooter,Electronic Arts,M,EA Montreal,6.9
World of Warcraft,MMO,Blizzard Entertainment,T,Blizzard Entertainment,8.0
The Elder Scrolls V: Skyrim,Role-Playing,Bethesda Softworks,M,Bethesda Softworks,9.1
Shadow of the Colossus,Adventure,Sony Computer Entertainment,T,Team ICO,9.4
Mirror's Edge,Platform,Electronic Arts,T,EA Digital Illusions CE,8.2
FIFA 18,Sports,EA Sports,E,EA Vancouver,9.1
Dante's Inferno,Action,Electronic Arts,M,Visceral Games,8.3
Star Fox: Assault,Shooter,Nintendo,T,Namco,8.5
Dragon Ball Z: Budokai Tenkaichi 3,Fighting,Atari,T,Spike / Bandai Namco Games,8.6
Prince of Persia,Adventure,Ubisoft,T,Ubisoft Montreal,6.0
