Rank,Name,Year,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1,WII SPORTS,1/1/2006,Sports,41.49,29.02,3.77,8.46,82.74
3,MARIO KART WII,1/1/2008,Racing,15.85,12.88,3.79,3.31,35.82
4,WII SPORTS RESORT,1/1/2009,Sports,15.75,11.01,3.28,2.96,33
5,POKEMON RED/POKEMON BLUE,1/1/1996,Role-Playing,11.27,8.89,10.22,1,31.37
7,NEW SUPER MARIO BROS.,1/1/2006,Platform,11.38,9.23,6.5,2.9,30.01
8,WII PLAY,1/1/2006,Misc,14.03,9.2,2.93,2.85,29.02
9,NEW SUPER MARIO BROS. WII,1/1/2009,Platform,14.59,7.06,4.7,2.26,28.62
10,DUCK HUNT,1/1/1984,Shooter,26.93,0.63,0.28,0.47,28.31
11,NINTENDOGS,1/1/2005,Simulation,9.07,11,1.93,2.75,24.76
12,MARIO KART DS,1/1/2005,Racing,9.81,7.57,4.13,1.92,23.42
13,POKEMON GOLD/POKEMON SILVER,1/1/1999,Role-Playing,9,6.18,7.2,0.71,23.1
14,WII FIT,1/1/2007,Sports,8.94,8.03,3.6,2.15,22.72
15,WII FIT PLUS,1/1/2009,Sports,9.09,8.59,2.53,1.79,22
16,KINECT ADVENTURES!,1/1/2010,Misc,14.97,4.94,0.24,1.67,21.82
20,BRAIN AGE: TRAIN YOUR BRAIN IN MINUTES A DAY,1/1/2005,Misc,4.75,9.26,4.16,2.05,20.22
21,POKEMON DIAMOND/POKEMON PEARL,1/1/2006,Role-Playing,6.42,4.52,6.04,1.37,18.36
22,SUPER MARIO LAND,1/1/1989,Platform,10.83,2.71,4.18,0.42,18.14
26,POKEMON RUBY/POKEMON SAPPHIRE,1/1/2002,Role-Playing,6.06,3.9,5.38,0.5,15.85
27,POKEMON BLACK/POKEMON WHITE,1/1/2010,Role-Playing,5.57,3.28,5.65,0.82,15.32
28,BRAIN AGE 2: MORE TRAINING IN MINUTES A DAY,1/1/2005,Puzzle,3.44,5.36,5.32,1.18,15.3
29,GRAN TURISMO 3: A-SPEC,1/1/2001,Racing,6.85,5.09,1.87,1.16,14.98
31,POKÉMON YELLOW: SPECIAL PIKACHU EDITION,1/1/1998,Role-Playing,5.89,5.04,3.12,0.59,14.64
33,POKEMON X/POKEMON Y,1/1/2013,Role-Playing,5.17,4.05,4.34,0.79,14.35
40,SUPER SMASH BROS. BRAWL,1/1/2008,Fighting,6.75,2.61,2.66,1.02,13.04
42,ANIMAL CROSSING: WILD WORLD,1/1/2005,Simulation,2.55,3.52,5.33,0.88,12.27
43,MARIO KART 7,1/1/2011,Racing,4.74,3.91,2.67,0.89,12.21
44,HALO 3,1/1/2007,Shooter,7.97,2.83,0.13,1.21,12.14
46,POKEMON HEARTGOLD/POKEMON SOULSILVER,1/1/2009,Action,4.4,2.77,3.96,0.77,11.9
48,GRAN TURISMO 4,1/1/2004,Racing,3.01,0.01,1.1,7.53,11.66
49,SUPER MARIO GALAXY,1/1/2007,Platform,6.16,3.4,1.2,0.76,11.52
50,POKEMON OMEGA RUBY/POKEMON ALPHA SAPPHIRE,1/1/2014,Role-Playing,4.23,3.37,3.08,0.65,11.33
51,SUPER MARIO LAND 2: 6 GOLDEN COINS,1/1/1992,Adventure,6.16,2.04,2.69,0.29,11.18
53,GRAN TURISMO,1/1/1997,Racing,4.02,3.87,2.54,0.52,10.95
