Rank,Name,Year,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
4756,'98 KOSHIEN,1998-01-01,Sports,0.15,0.1,0.12,0.03,0.41
8359,.HACK//G.U. VOL.1//REBIRTH,2006-01-01,Role-Playing,0.0,0.0,0.17,0.0,0.17
7109,.HACK//G.U. VOL.2//REMINISCE,2006-01-01,Role-Playing,0.11,0.09,0.0,0.03,0.23
8604,.HACK//G.U. VOL.2//REMINISCE (JP SALES),2006-01-01,Role-Playing,0.0,0.0,0.16,0.0,0.16
8306,.HACK//G.U. VOL.3//REDEMPTION,2007-01-01,Role-Playing,0.0,0.0,0.17,0.0,0.17
1565,.HACK//INFECTION PART 1,2002-01-01,Role-Playing,0.49,0.38,0.26,0.13,1.27
9076,.HACK//LINK,2010-01-01,Role-Playing,0.0,0.0,0.14,0.0,0.14
3004,.HACK//MUTATION PART 2,2002-01-01,Role-Playing,0.23,0.18,0.2,0.06,0.68
4296,.HACK//OUTBREAK PART 3,2002-01-01,Role-Playing,0.14,0.11,0.17,0.04,0.46
8009,.HACK//QUARANTINE PART 4: THE FINAL CHAPTER,2003-01-01,Role-Playing,0.09,0.07,0.0,0.02,0.18
14279,.HACK: SEKAI NO MUKOU NI + VERSUS,2012-01-01,Action,0.0,0.0,0.03,0.0,0.03
3770,007 RACING,2000-01-01,Racing,0.3,0.2,0.0,0.03,0.53
3451,007: THE WORLD IS NOT ENOUGH,2004-01-01,Role-Playing,1.64,0.73,0.02,0.09,2.47
421,007: TOMORROW NEVER DIES,1999-01-01,Shooter,1.72,1.33,0.0,0.16,3.21
11233,1 VS. 100,2008-01-01,Misc,0.08,0.0,0.0,0.01,0.09
16115,1/2 SUMMER +,2013-01-01,Adventure,0.0,0.0,0.01,0.0,0.01
11414,10 MINUTE SOLUTION,2010-01-01,Sports,0.06,0.01,0.0,0.01,0.08
3888,100 ALL-TIME FAVORITES,2009-01-01,Puzzle,0.35,0.12,0.0,0.04,0.51
3008,100 CLASSIC BOOKS,2008-01-01,Misc,0.13,0.52,0.0,0.02,0.67
13892,100 CLASSIC GAMES,2011-01-01,Misc,0.0,0.03,0.0,0.0,0.04
14635,1000 COOKING RECIPES FROM ELLE À TABLE,2010-01-01,Misc,0.0,0.02,0.0,0.0,0.03
5538,1001 TOUCH GAMES,2011-01-01,Action,0.12,0.17,0.0,0.04,0.33
7712,101-IN-1 EXPLOSIVE MEGAMIX,2008-01-01,Puzzle,0.05,0.13,0.0,0.02,0.2
7115,101-IN-1 PARTY MEGAMIX WII,2009-01-01,Misc,0.19,0.01,0.0,0.02,0.23
11310,101-IN-1 SPORTS MEGAMIX,2010-01-01,Sports,0.08,0.0,0.0,0.01,0.08
14623,101-IN-1 SPORTS PARTY MEGAMIX,2010-01-01,Sports,0.02,0.0,0.0,0.0,0.03
839,1080°: TENEIGHTY SNOWBOARDING,1998-01-01,Sports,1.25,0.61,0.13,0.05,2.03
12237,12-SAI. HONTO NO KIMOCHI,2014-01-01,Adventure,0.0,0.0,0.07,0.0,0.07
14007,12-SAI. KOISURU DIARY,2016-01-01,Adventure,0.0,0.0,0.04,0.0,0.04
13692,12RIVEN: THE PSI-CLIMINAL OF INTEGRAL,2008-01-01,Adventure,0.0,0.0,0.04,0.0,0.04
16543,15 DAYS,2009-01-01,Adventure,0.0,0.01,0.0,0.0,0.01
5843,1701 A.D.,2006-01-01,Simulation,0.0,0.25,0.0,0.05,0.3
14909,18 WHEELER: AMERICAN PRO TRUCKER,2012-01-01,Adventure,0.29000000000000004,0.16999999999999998,0.0,0.05,0.51
15155,18 WHEELS OF STEEL: EXTREME TRUCKER,2009-01-01,Racing,0.0,0.02,0.0,0.0,0.02
10160,18 WHEELS OF STEEL: EXTREME TRUCKER 2,2011-01-01,Racing,0.08,0.02,0.0,0.01,0.11
2061,1942,1985-01-01,Shooter,0.65,0.14,0.21,0.0,1.0
9833,2 GAMES IN 1 DOUBLE PACK: HOT WHEELS VELOCITY X / HOT WHEELS WORLD RACE,2005-01-01,Racing,0.09,0.03,0.0,0.0,0.12
1000,2 GAMES IN 1 DOUBLE PACK: THE INCREDIBLES / FINDING NEMO: THE CONTINUING ADVENTURES,2007-01-01,Action,1.26,0.47,0.0,0.03,1.76
1015,2 GAMES IN 1: DISNEY PRINCESS & THE LION KING,2004-01-01,Misc,1.25,0.46,0.0,0.03,1.75
1015,2 GAMES IN 1: DISNEY PRINCESS & THE LION KING,2004-01-01,Misc,1.25,0.46,0.0,0.03,1.75
